analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,0.0,0.0,0.0,homa,0.0,hpcc_valid_feedback,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,int_hops_after_strip,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,int_hops_before_strip,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,int_records_stripped,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,irn_nacks_generated,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,irn_nacks_received,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,irn_retransmit_bytes,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,irn_retransmit_packets,5,2.7764451051977987,AliStorage2019
arm_mean,0.024968322140025954,6.871549974880329,6.821613330600277,homa,6.846581652740303,le_8KB_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.021825993282663877,9.189585993282662,9.145934006717336,homa,9.16776,le_8KB_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.0837849921933791,9.535870992193379,9.36830100780662,homa,9.452086,le_8KB_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,217.52415288413465,6999.3241528841345,6564.275847115866,homa,6781.8,le_8KB_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.0007540250074943739,1.011184318114411,1.009676268099422,homa,1.0104302931069165,le_8KB_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.0029192907737018697,1.039381965648995,1.0335433841015913,homa,1.0364626748752932,le_8KB_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.008197310649832697,1.0852542788240032,1.0688596575243376,homa,1.0770569681741704,le_8KB_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.14991557158533292,1.7716981146662965,1.4718669714956307,homa,1.6217825430809636,long_to_small_slowdown_mean_ratio,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,max_active_flows,5,2.7764451051977987,AliStorage2019
arm_mean,19190.23892595655,1120092.8389259567,1081712.3610740434,homa,1100902.6,output_bytes,5,2.7764451051977987,AliStorage2019
arm_mean,0.6107389029802504,12.210539732019408,10.989061926058907,homa,11.599800829039157,overall_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.3668595683809348,16.170169568380928,15.436450431619058,homa,15.803309999999993,overall_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,15.396320824372637,174.84017482437218,144.04753317562688,homa,159.44385399999953,overall_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,overall_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.004941197355649459,1.04433222207276,1.034449827361461,homa,1.0393910247171105,overall_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.004394007840601814,1.1215073202675485,1.112719304586345,homa,1.1171133124269468,overall_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.15760149282646463,1.8605247860400707,1.5453218003871414,homa,1.702923293213606,overall_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,pfc_cumulative_pause_ns,5,2.7764451051977987,AliStorage2019
