analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,0.011572771100211349,1.131764518685033,1.1086189764846102,guard,1.1201917475848215,8KB_to_1BDP_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.0472962223597482,1.3652012215293405,1.2706087768098442,guard,1.3179049991695924,8KB_to_1BDP_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,completion_releases,5,2.7764451051977987,AliStorage30
arm_mean,0.0,2.0,2.0,guard,2.0,elapsed_seconds,5,2.7764451051977987,AliStorage30
arm_mean,90.4328704077637,3733.432870407764,3552.567129592236,guard,3643.0,flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.5552890210395597,0.7552890210395597,-0.35528902103955967,guard,0.2,grant_binding_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,36.602772053142786,72.60277205314279,-0.602772053142786,guard,36.0,grant_binding_updates,5,2.7764451051977987,AliStorage30
arm_mean,23821.531680608063,190727.93168060805,143084.86831939194,guard,166906.4,grant_bytes_sent,5,2.7764451051977987,AliStorage30
arm_mean,291.3005663547192,729.3005663547192,146.6994336452808,guard,438.0,grant_event_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,253.4205497937028,2029.0205497937027,1522.1794502062971,guard,1775.6,grants_received,5,2.7764451051977987,AliStorage30
arm_mean,253.4205497937028,2029.0205497937027,1522.1794502062971,guard,1775.6,grants_sent,5,2.7764451051977987,AliStorage30
arm_mean,30.507928691038924,228.26344758711994,167.2475902050421,guard,197.755518896081,gt_1MB_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,89.87425117951477,422.4040711795148,242.65556882048526,guard,332.52982000000003,gt_1MB_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,145.7833842888581,554.8148742888582,263.24810571114193,guard,409.03149,gt_1MB_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,7.583304673388708,56.18330467338871,41.01669532661129,guard,48.6,gt_1MB_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.17296632957526217,1.6504642886005243,1.30453162945,guard,1.4774979590252622,gt_1MB_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.5404016066238632,2.869415669632384,1.7886124563846573,guard,2.3290140630085205,gt_1MB_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.9589892364846325,3.7171851513939425,1.7992066784246772,guard,2.75819591490931,gt_1MB_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,guard_adaptive_grant_updates,5,2.7764451051977987,AliStorage30
arm_mean,0.0,1.0,1.0,guard,1.0,guard_grant_refresh_bdps,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,guard_min_share_fraction,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,guard_rebalance_events,5,2.7764451051977987,AliStorage30
arm_mean,0.0,1.0,1.0,guard,1.0,guard_remaining_aware,5,2.7764451051977987,AliStorage30
arm_mean,0.0,1.0,1.0,guard,1.0,guard_remaining_exponent,5,2.7764451051977987,AliStorage30
arm_mean,177.27640045033445,1497.0764004503344,1142.5235995496655,guard,1319.8,guard_remaining_refresh_events,5,2.7764451051977987,AliStorage30
arm_mean,0.0,1.0,1.0,guard,1.0,guard_sender_srpt_enabled,5,2.7764451051977987,AliStorage30
arm_mean,23.38485510173675,74.58485510173675,27.815144898263252,guard,51.2,guard_sender_srpt_forced_rr,5,2.7764451051977987,AliStorage30
arm_mean,4425.209087392415,16627.009087392413,7776.590912607584,guard,12201.8,guard_sender_srpt_non_rr,5,2.7764451051977987,AliStorage30
arm_mean,13911.008839662287,163609.80883966226,135787.7911603377,guard,149698.8,guard_sender_srpt_selections,5,2.7764451051977987,AliStorage30
arm_mean,0.0,64.0,64.0,guard,64.0,guard_srpt_quantum_packets,5,2.7764451051977987,AliStorage30
arm_mean,0.0,8.0,8.0,guard,8.0,guard_tail_bypass_bdps,5,2.7764451051977987,AliStorage30
arm_mean,0.0,1.0,1.0,guard,1.0,guard_tail_bypass_enabled,5,2.7764451051977987,AliStorage30
arm_mean,906.4408272748846,9497.640827274885,7684.7591727251165,guard,8591.2,guard_tail_bypass_feedbacks,5,2.7764451051977987,AliStorage30
arm_mean,12.00631945246779,221.00631945246778,196.99368054753222,guard,209.0,guard_tail_bypass_flows,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_completion_notices_received,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_completion_notices_sent,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_data_bytes,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_data_packets,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_grants_received,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_grants_sent,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_max_pending_messages,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_messages_completed,5,2.7764451051977987,AliStorage30
