workload,seed,arm,metric,value
AliStorage2019,11,no_srpt,guard_grant_refresh_bdps,1.0
AliStorage2019,11,no_srpt,guard_long_acks_suppressed,299146.0
AliStorage2019,11,no_srpt,guard_min_share_fraction,0.0
AliStorage2019,11,no_srpt,guard_one_rtt_acks_suppressed,83733.0
AliStorage2019,11,no_srpt,guard_one_rtt_bypass_enabled,1.0
AliStorage2019,11,no_srpt,guard_one_rtt_bypass_feedbacks,9130.0
AliStorage2019,11,no_srpt,guard_one_rtt_bypass_flows,9130.0
AliStorage2019,11,no_srpt,guard_rebalance_events,0.0
AliStorage2019,11,no_srpt,guard_remaining_aware,1.0
AliStorage2019,11,no_srpt,guard_remaining_exponent,1.0
AliStorage2019,11,no_srpt,guard_remaining_refresh_events,3958.0
AliStorage2019,11,no_srpt,guard_sender_srpt_enabled,0.0
AliStorage2019,11,no_srpt,guard_sender_srpt_forced_rr,0.0
AliStorage2019,11,no_srpt,guard_sender_srpt_non_rr,0.0
AliStorage2019,11,no_srpt,guard_sender_srpt_selections,0.0
AliStorage2019,11,no_srpt,guard_srpt_quantum_packets,64.0
AliStorage2019,11,no_srpt,guard_tail_bypass_bdps,8.0
AliStorage2019,11,no_srpt,guard_tail_bypass_enabled,1.0
AliStorage2019,11,no_srpt,guard_tail_bypass_feedbacks,24904.0
AliStorage2019,11,no_srpt,guard_tail_bypass_flows,593.0
AliStorage2019,11,no_srpt,hpcc_actual_rate_changes,199.0
AliStorage2019,11,no_srpt,hpcc_fast_computations,0.0
AliStorage2019,11,no_srpt,hpcc_feedback_updates,2802.0
AliStorage2019,11,no_srpt,hpcc_full_computations,683.0
AliStorage2019,11,no_srpt,hpcc_rate_updates_applied,683.0
AliStorage2019,11,no_srpt,hpcc_valid_feedback,788.0
AliStorage2019,11,no_srpt,int_hops_after_strip,58126.0
AliStorage2019,11,no_srpt,int_hops_before_strip,110864.0
AliStorage2019,11,no_srpt,int_records_stripped,52738.0
AliStorage2019,11,no_srpt,irn_nacks_generated,0.0
AliStorage2019,11,no_srpt,irn_nacks_received,0.0
AliStorage2019,11,no_srpt,irn_retransmit_bytes,0.0
AliStorage2019,11,no_srpt,irn_retransmit_packets,0.0
AliStorage2019,11,no_srpt,le_8KB_fct_us_mean,6.865005985335927
AliStorage2019,11,no_srpt,le_8KB_fct_us_p95,9.233899999999998
AliStorage2019,11,no_srpt,le_8KB_fct_us_p99,9.669620000000002
AliStorage2019,11,no_srpt,le_8KB_flow_count,6683.0
AliStorage2019,11,no_srpt,le_8KB_slowdown_mean,1.0150543105617649
AliStorage2019,11,no_srpt,le_8KB_slowdown_p95,1.0734043544136573
AliStorage2019,11,no_srpt,le_8KB_slowdown_p99,1.1234288412745825
AliStorage2019,11,no_srpt,long_to_small_slowdown_mean_ratio,1.7484063620580121
AliStorage2019,11,no_srpt,max_active_flows,4.0
AliStorage2019,11,no_srpt,overall_fct_us_mean,12.506401110768282
AliStorage2019,11,no_srpt,overall_fct_us_p95,16.58969999999998
AliStorage2019,11,no_srpt,overall_fct_us_p99,184.5230200000029
AliStorage2019,11,no_srpt,overall_flow_count,9723.0
AliStorage2019,11,no_srpt,overall_slowdown_mean,1.0487108089837331
AliStorage2019,11,no_srpt,overall_slowdown_p95,1.1899138850372657
AliStorage2019,11,no_srpt,overall_slowdown_p99,1.7934718427690213
AliStorage2019,11,no_srpt,pfc_pause_events,0.0
AliStorage2019,11,no_srpt,pfc_resume_events,0.0
AliStorage2019,11,no_srpt,proactive_releases,593.0
AliStorage2019,11,no_srpt,queue_bytes_max,436000.0
AliStorage2019,11,no_srpt,queue_bytes_mean,3355.628
AliStorage2019,11,no_srpt,queue_bytes_p95,2180.0
AliStorage2019,11,no_srpt,queue_bytes_p99,119900.0
AliStorage2019,11,no_srpt,queue_sample_count,400020.0
AliStorage2019,11,no_srpt,reactive_binding_rate_changes,186.0
AliStorage2019,11,no_srpt,reactive_binding_updates,186.0
AliStorage2019,11,no_srpt,recovery_nacks_generated,0.0
AliStorage2019,11,no_srpt,recovery_nacks_received,0.0
AliStorage2019,11,no_srpt,registrations,593.0
AliStorage2019,11,no_srpt,selected_registrations,593.0
AliStorage2019,11,no_srpt,tie_binding_rate_changes,11.0
AliStorage2019,11,no_srpt,tie_binding_updates,413.0
AliStorage2019,11,no_srpt,timeout_recoveries,0.0
AliStorage2019,11,no_reclaim,1BDP_to_1MB_fct_us_mean,49.6136
AliStorage2019,11,no_reclaim,1BDP_to_1MB_fct_us_p95,148.0478
AliStorage2019,11,no_reclaim,1BDP_to_1MB_fct_us_p99,288.3660900000001
AliStorage2019,11,no_reclaim,1BDP_to_1MB_flow_count,290.0
AliStorage2019,11,no_reclaim,1BDP_to_1MB_slowdown_mean,1.2869286654950116
AliStorage2019,11,no_reclaim,1BDP_to_1MB_slowdown_p95,2.101847876008401
AliStorage2019,11,no_reclaim,1BDP_to_1MB_slowdown_p99,3.2584301489343765
AliStorage2019,11,no_reclaim,8KB_to_1BDP_fct_us_mean,8.867628703347442
AliStorage2019,11,no_reclaim,8KB_to_1BDP_fct_us_p95,14.447399999999998
